date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:47	8707/8707	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202020%2009:38:47%20GMT	http://slimhamdi.net/tunis/dark/index.html	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/index.html	(from )
15:08:48	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2019%20Jul%202020%2009:38:47%20GMT	http://slimhamdi.net/robots.txt		(from )
15:08:49	159515/159515	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:34%20GMT	http://slimhamdi.net/tunis/dark/css/bootstrap.min.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/bootstrap.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:49	842/842	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:34%20GMT	http://slimhamdi.net/tunis/dark/css/preloader.min.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/preloader.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:49	27049/27049	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:32%20GMT	http://slimhamdi.net/tunis/dark/css/circle.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/circle.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:50	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:33%20GMT	http://slimhamdi.net/tunis/dark/css/font-awesome.min.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/font-awesome.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:50	1261/1261	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:32%20GMT	http://slimhamdi.net/tunis/dark/css/fm.revealator.jquery.min.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/fm.revealator.jquery.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:51	29835/29835	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2016:49:50%20GMT	http://slimhamdi.net/tunis/dark/css/style.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/style.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:52	2606/2606	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:56%20GMT	http://slimhamdi.net/tunis/dark/css/skins/yellow.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/skins/yellow.css	(from http://slimhamdi.net/tunis/dark/index.html)
15:08:52	2604/2604	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:55%20GMT	http://slimhamdi.net/tunis/dark/css/skins/blue.css	C:/My%20Web%20Sites/Demo/slimhamdi.net/tunis/dark/css/skins/blue.css	(from http://slimhamdi.net/tunis/dark/index.html)
